"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"000001.SZ",24.8100003004074,24.6600006818771,24.6600006818771,24.6600006818771,24.6600006818771,24.8600009679794,27.5400004386902,27.6900004148483,27.6900004148483,27.6900004148483,27.6900004148483,27.6900004148483,28.7800004482269,28.7800004482269,28.7800004482269,28.7800004482269,28.7800004482269,28.7800004482269,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.6400001049042,27.7900007963181,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,34.2200003862381,55.2599997520447,55.2599997520447,55.2599997520447,55.2599997520447,55.2599997520447,55.2599997520447,55.2699997425079,55.2699997425079,55.2699997425079,55.2699997425079,55.2699997425079,55.2699997425079,54.9799997210503,54.9799997210503,54.9799997210503,54.9799997210503,54.9799997210503,55.4399995803833,55.4399995803833,55.4399995803833,55.4399995803833,55.6599996089935,55.6599996089935,55.6599996089935,56.0199996232986,56.0199996232986,56.0199996232986,56.0199996232986,56.0199996232986,62.2800006866455,62.2800006866455,62.2800006866455,61.6400007009506,61.6400007009506,61.6400007009506,61.760000705719,61.760000705719,61.760000705719,61.760000705719,61.760000705719,61.760000705719,62.6000008583069,62.6000008583069,62.6000008583069,62.6000008583069,62.6000008583069,61.3100016117096,60.8700015544891,60.8700015544891,60.8700015544891,62.5800014734268,62.5800014734268,62.5800014734268,62.230001449585,62.230001449585,62.230001449585,62.0700013637543,62.0700013637543,62.0700013637543,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,61.9900014400482,62.4200015068054,62.4200015068054,62.4200015068054,62.4200015068054,61.8900015354156,61.8900015354156,61.8900015354156,61.8900015354156,61.8900015354156
"000002.SZ",19.3100001811981,19.0400002002716,19.0400002002716,19.0400002002716,19.0400002002716,19.0400002002716,18.58000010252,18.58000010252,18.58000010252,18.58000010252,18.58000010252,18.58000010252,18.5299996137619,18.5299996137619,18.5299996137619,18.5299996137619,18.5299996137619,18.5299996137619,18.4699995517731,18.4699995517731,18.4699995517731,18.4699995517731,18.4699995517731,18.4699995517731,19.3299995660782,19.3299995660782,19.3299995660782,19.3299995660782,19.3299995660782,19.3299995660782,19.6699995994568,19.6699995994568,19.6699995994568,19.6699995994568,19.6699995994568,19.6699995994568,18.8499996066093,18.8499996066093,18.8499996066093,18.8499996066093,18.8499996066093,18.8499996066093,18.979999601841,18.979999601841,18.979999601841,18.979999601841,18.979999601841,18.979999601841,18.979999601841,19.4899995326996,19.4899995326996,19.4899995326996,19.4899995326996,19.4899995326996,19.4899995326996,19.1299995779991,19.1299995779991,19.1299995779991,19.1299995779991,19.1299995779991,19.3700003027916,19.3700003027916,19.3700003027916,19.3700003027916,19.3700003027916,19.3700003027916,19.3700003027916,19.3499997854233,19.3499997854233,19.08999979496,19.08999979496,19.08999979496,18.759999871254,18.759999871254,18.759999871254,18.9899995923042,18.9899995923042,18.9899995923042,31.1599991321564,31.1599991321564,31.1599991321564,33.7299991846085,33.7299991846085,33.7299991846085,33.5699998140335,33.5699998140335,33.5699998140335,33.5299991369247,33.5299991369247,33.5299991369247,33.5199998617172,NA,NA,37.5099990367889,37.5099990367889,37.5099990367889,42.8099992275238,42.8099992275238,42.8099992275238,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,42.8499999046326,NA,NA,44.5200004577637,44.5200004577637,44.5200004577637,53.239999294281,NA,NA,NA,56.989999294281,56.989999294281,56.989999294281,56.989999294281,56.989999294281
"000004.SZ",NA,29.4099991321564,29.4099991321564,29.4099991321564,29.4099991321564,29.4099991321564,35.7899998426437,35.7899998426437,35.7899998426437,35.7899998426437,35.7899998426437,35.7899998426437,34.7199997901917,34.7199997901917,34.7199997901917,34.7199997901917,34.7199997901917,34.7199997901917,34.3799998760223,34.3799998760223,34.3799998760223,34.3799998760223,34.3799998760223,34.3799998760223,37.3200001716614,37.3200001716614,37.3200001716614,37.3200001716614,37.3200001716614,37.3200001716614,37.7000005245209,37.7000005245209,37.7000005245209,37.7000005245209,NA,NA,39.4700005054474,39.4700005054474,39.4700005054474,39.4700005054474,39.4700005054474,39.4700005054474,33.2200004458427,33.2200004458427,33.2200004458427,33.2200004458427,33.2200004458427,33.2200004458427,33.2200004458427,39.2800006866455,39.2800006866455,39.2800006866455,39.2800006866455,39.2800006866455,39.2800006866455,35.280000269413,35.280000269413,35.280000269413,35.280000269413,35.280000269413,35.4700001478195,35.4700001478195,35.4700001478195,35.4700001478195,33.2400004267693,33.2400004267693,33.2400004267693,34.0500003695488,34.0500003695488,31.6100003123283,31.6100003123283,31.6100003123283,36.6800003051758,36.6800003051758,36.6800003051758,35.3300001621246,35.3300001621246,35.3300001621246,34.3300002813339,34.3300002813339,34.3300002813339,33.5600004792213,33.5600004792213,33.5600004792213,32.1200004220009,32.1200004220009,32.1200004220009,35.4300003051758,35.4300003051758,35.4300003051758,36.7300002574921,NA,NA,48.8300004005432,48.8300004005432,48.8300004005432,47.3900003433228,47.3900003433228,47.3900003433228,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,47.4800002574921,48.6000003814697,48.6000003814697,48.2000002861023,48.2000002861023,48.2000002861023,47.7800003290176,47.7800003290176,47.7800003290176,47.7800003290176,49.6600005626678,49.6600005626678,49.6600005626678,49.6600005626678,49.6600005626678
"000005.SZ",30.4699995517731,27.6000001430511,27.6000001430511,27.6000001430511,27.6000001430511,27.6000001430511,25.5900005102158,NA,NA,NA,NA,NA,25.5799997448921,25.5799997448921,25.5799997448921,25.5799997448921,25.5799997448921,25.5799997448921,25.1799997091293,25.1799997091293,25.1799997091293,25.1799997091293,25.1799997091293,25.1799997091293,25.5299997031689,25.5299997031689,25.5299997031689,25.5299997031689,25.5299997031689,25.5299997031689,25.4999997019768,25.4999997019768,25.4999997019768,25.4999997019768,25.4999997019768,25.4999997019768,26.4899997711182,26.4899997711182,26.4899997711182,26.4899997711182,26.4899997711182,26.4899997711182,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.5999997258186,27.3399996161461,27.3399996161461,27.3399996161461,27.3399996161461,27.3399996161461,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.7199996113777,27.4599995613098,27.4599995613098,27.4599995613098,28.0099996328354,28.0099996328354,28.0099996328354,28.2799996137619,28.2799996137619,28.2799996137619,28.7399996519089,28.7399996519089,28.7399996519089,25.2499997317791,25.2499997317791,25.2499997317791,25.4499997198582,25.4499997198582,25.4499997198582,25.4499997198582,25.4499997198582,25.4499997198582,24.8799995481968,24.8799995481968,24.8799995481968,25.1699995398521,25.1699995398521,25.1699995398521,26.4799998998642,26.4799998998642,26.4799998998642,26.4799998998642,26.4799998998642,26.4799998998642,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,26.9099999666214,27.1000000238419,27.1000000238419,27.1000000238419,27.0199998617172,27.0199998617172,27.0199998617172,27.0199998617172,26.1699998378754,26.1699998378754,26.1699998378754,26.1699998378754,26.1699998378754
"000006.SZ",32.3799998760223,30.2100001573563,NA,NA,NA,NA,25.7999992370605,25.7999992370605,25.7999992370605,25.7999992370605,NA,NA,24.9900001883507,NA,NA,NA,NA,NA,30.6200004816055,30.6200004816055,30.6200004816055,30.6200004816055,30.6200004816055,30.6200004816055,29.210000038147,29.210000038147,29.210000038147,29.210000038147,29.210000038147,29.210000038147,26.1600002646446,NA,NA,NA,NA,NA,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.6499998569489,40.7299997806549,40.7299997806549,NA,NA,NA,NA,43.3400001525879,43.3400001525879,43.3400001525879,43.3423991203308,43.3423991203308,43.3400001525879,43.3400001525879,43.3400001525879,43.3400001525879,NA,NA,NA,47.1600003242493,47.1600003242493,47.1799988746643,47.1799988746643,47.1799988746643,47.1799988746643,47.1799988746643,47.1799988746643,48.5399994850159,48.5399994850159,48.5399994850159,49.5400004386902,NA,NA,49.5699996948242,NA,NA,39.9099998474121,39.9099998474121,39.9099998474121,35.7300000488758,35.7300000488758,35.7300000488758,35.1799999773502,35.1799999773502,35.1799999773502,39.6399999856949,39.6399999856949,39.6399999856949,39.2700000405312,39.2700000405312,39.2700000405312,39.3300000429153,39.3300000429153,39.3300000429153,39.410000026226,39.410000026226,39.410000026226,39.5000000596046,39.5000000596046,39.5000000596046,39.5000000596046,39.1200000047684,39.1200000047684,39.3300000429153,39.3300000429153,39.3300000429153,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684,39.1200000047684
"000007.SZ",33.4099998474121,29.7799998521805,29.7799998521805,29.7799998521805,29.7799998521805,29.7799998521805,29.1499997377396,29.1499997377396,29.1499997377396,29.1499997377396,29.1499997377396,29.1599997282028,29.1499997377396,29.1499997377396,29.1499997377396,29.1499997377396,29.1499997377396,29.1499997377396,27.2999997138977,27.2999997138977,27.2999997138977,27.2999997138977,NA,NA,28.2199997901917,28.2199997901917,28.2199997901917,27.5299997925758,27.5299997925758,27.5299997925758,27.4799997806549,27.4799997806549,27.4799997806549,27.3499997258186,27.3499997258186,27.3499997258186,27.9199997186661,27.9199997186661,27.9199997186661,27.9199997186661,27.9199997186661,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.7499996423721,40.9399996995926,40.9399996995926,40.9399996995926,40.9399996995926,40.9399996995926,40.139999628067,40.139999628067,40.139999628067,40.139999628067,40.2599996328354,40.2599996328354,40.2599996328354,41.3899997472763,41.3899997472763,42.7499997615814,42.7499997615814,42.7499997615814,42.7299997806549,NA,NA,41.1299998760223,41.1299998760223,41.1299998760223,41.1299998760223,41.1299998760223,41.1299998760223,37.5799996852875,37.5799996852875,37.5799996852875,37.5099997520447,NA,NA,39.1099996566772,NA,NA,36.3999996185303,36.3999996185303,36.3999996185303,36.3999996185303,36.3999996185303,36.3999996185303,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,35.7399996519089,41.289999961853,NA,NA,NA,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,39.6499996185303,NA,NA,NA,NA
"000008.SZ",NA,NA,NA,NA,NA,NA,33.2000005841255,33.2000005841255,33.2000005841255,33.2000005841255,33.2000005841255,33.2000005841255,34.1600005626678,34.1600005626678,34.1600005626678,34.1600005626678,34.1600005626678,34.1600005626678,35.0500004291534,35.0500004291534,35.0500004291534,35.0500004291534,35.0500004291534,35.0500004291534,34.0499993562698,34.0499993562698,34.0499993562698,34.0499993562698,34.0499993562698,34.0499993562698,36.6299993991852,36.6299993991852,36.6299993991852,36.6299993991852,36.6299993991852,36.6299993991852,35.9399993419647,35.9399993419647,35.9399993419647,35.9399993419647,35.9399993419647,35.9399993419647,35.7999994754791,35.7999994754791,35.7999994754791,35.7999994754791,35.7999994754791,35.7999994754791,35.7999994754791,33.399999499321,33.399999499321,33.399999499321,32.1299996376038,32.1299996376038,32.1299996376038,32.2299996614456,32.2299996614456,32.2299996614456,32.2299996614456,32.2299996614456,67.1099990010262,67.1099990010262,67.1099990010262,67.1099990010262,67.0199990272522,67.0199990272522,67.0199990272522,66.9099990725517,66.9099990725517,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,66.8899990320206,64.7699995040894,64.7699995040894,64.7699995040894,63.1999994516373,63.0199995040894,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,47.4999995231628,NA,47.529999256134,47.529999256134,37.2300000190735,36.0399994850159,36.0399994850159,36.0399994850159,34.6599998474121,NA,NA,30.8899998664856,30.8899998664856,NA,NA,29.7000002861023,29.7000002861023,29.690000295639,29.690000295639,29.690000295639,29.690000295639,29.690000295639,29.690000295639,NA,31.9299998283386,31.9299998283386,31.9299998283386,NA,NA
"000009.SZ",28.4700000286102,28.539999961853,28.539999961853,28.539999961853,28.539999961853,NA,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,18.4699999690056,23.4200000762939,23.4200000762939,23.4200000762939,23.4200000762939,23.4200000762939,23.4200000762939,21.299999833107,21.299999833107,21.299999833107,21.299999833107,21.299999833107,21.299999833107,23.4300000667572,23.4300000667572,23.4300000667572,23.4300000667572,23.4300000667572,23.4300000667572,24.1799998283386,24.1799998283386,24.1799998283386,24.1799998283386,24.1799998283386,24.1799998283386,23.549999833107,NA,NA,NA,NA,NA,NA,25.9199999570847,25.9199999570847,25.9199999570847,25.9199999570847,25.9199999570847,25.9199999570847,23.2300000190735,23.2300000190735,23.2300000190735,23.2300000190735,23.2300000190735,24.3300002813339,24.3300002813339,24.3300002813339,24.3300002813339,24.2300000190735,24.2300000190735,24.2300000190735,24.3800001144409,24.3800001144409,24.280000269413,24.280000269413,24.280000269413,24.5900000929832,24.5900000929832,24.5900000929832,23.4300001859665,23.4300001859665,23.4300001859665,24.3800001740456,24.3800001740456,24.3800001740456,22.4800001978874,22.4800001978874,22.4800001978874,21.8100001811981,21.6000002026558,21.6000002026558,21.2200000286102,21.2200000286102,NA,21.2200003862381,21.2200003862381,21.2200003862381,21.6499999761581,21.6499999761581,21.6499999761581,20.2200000286102,20.2200000286102,20.2200000286102,19.9200000166893,19.9200000166893,19.9200000166893,19.8200000524521,19.8200000524521,19.8200000524521,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6300000548363,19.6300000548363,19.6300000548363,19.6300000548363,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684,19.6200000047684
"000010.SZ",50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,51.0000007152557,51.0000007152557,51.0000007152557,51.0000007152557,51.0000007152557,51.0000007152557,51.3300006389618,51.3300006389618,51.3300006389618,51.3300006389618,51.3300006389618,51.3300006389618,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,50.6300007104874,NA,NA,NA,NA,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,51.7300001382828,49.4300002455711,NA,NA,47.6799999475479,47.6799999475479,47.6799999475479,47.6799999475479,47.6799999475479,NA,46.7299996614456,46.7299996614456,46.7299996614456,46.059999704361,46.059999704361,43.6299996376038,38.4500000476837,38.4500000476837,38.4500000476837,38.4500000476837,NA,NA,35.8900001049042,35.8900001049042,35.8900001049042,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,35.5700001716614,34.1100002527237,34.1100002527237,34.1100002527237,34.1100002527237,34.1100002527237
"000011.SZ",71.4399999678135,72.4569998681545,72.4569998681545,72.4569998681545,72.4569998681545,72.4569998681545,72.1799999773502,72.1799999773502,72.1799999773502,72.1799999773502,72.1799999773502,72.1799999773502,72.1189998090267,72.1189998090267,72.1189998090267,72.1189998090267,72.1189998090267,72.1189998090267,72.1999998986721,72.1999998986721,72.1999998986721,72.1999998986721,72.1999998986721,NA,65.6900012791157,65.6900012791157,65.6900012791157,65.6900012791157,65.6900012791157,65.6900012791157,65.2800012528896,65.2800012528896,65.2800012528896,65.2800012528896,65.2800012528896,65.2800012528896,65.0300012230873,65.0300012230873,65.0300012230873,65.0300012230873,65.0300012230873,65.0300012230873,65.3400011360645,65.3400011360645,65.3400011360645,65.3400011360645,65.3400011360645,NA,NA,65.5000013709068,65.5000013709068,65.5000013709068,65.5000013709068,65.5000013709068,65.5000013709068,64.6700015813112,64.6700015813112,64.6700015813112,64.6700015813112,64.6700015813112,64.7600015848875,64.7600015848875,64.7600015848875,64.7600015848875,64.8500015735626,64.8500015735626,64.8500015735626,64.8100015819073,64.8100015819073,64.6200015842915,64.6200015842915,64.6200015842915,64.6200015842915,64.6200015842915,64.6200015842915,64.660001590848,64.660001590848,64.660001590848,64.8300015926361,64.8300015926361,64.8300015926361,64.6000015884638,64.6000015884638,64.6000015884638,64.6100016087294,64.6100016087294,64.6100016087294,64.5000015944242,64.5000015944242,64.5000015944242,65.0000016093254,65.0000016093254,65.0000016093254,64.5200016051531,64.5200016051531,64.5200016051531,64.6200015842915,64.6200015842915,64.6200015842915,64.6900016069412,64.6900016069412,64.6900016069412,65.0900016129017,65.0900016129017,65.0900016129017,65.390001565218,65.390001565218,65.390001565218,65.390001565218,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524,65.3800015449524
