"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000001.SZ",1.8333,1.8889,1.8947,2,2.04,2,2,2.1538,2.2258,2.25,2.4138,2.4286,2.4074,2.5313,2.4375,2.3939,2.3793,2.3793,2.1818,2.129,2.0882,2.0303,2.0294,1.9706,2.0286,1.9737,1.9688,2,2,2,1.9688,2.0357,1.9706,2.0588,2.0286,2.0294,2.0294,2.0294,2,1.963,1.8214,1.8519,1.8519,1.8214,1.6452,1.6452,1.7813,1.7188,1.7273,1.7273,1.6786,1.8,1.8065,1.8065,1.8065,1.7931,1.9412,1.9565,1.8636,1.8571,1.8571,1.8571,1.7143,1.8077,1.913,1.913,1.913,1.913,1.8519,1.75,1.625,1.625,1.5769,1.5769,1.5769,1.6,1.5357,1.5357,1.52,1.5556,1.5517,1.4815,1.5769,1.5769,1.5769,1.4583,1.5,1.5217,1.5294,1.5294,1.7647,1.7778,1.619,1.619,1.6818,1.6818,1.5238,1.5238,1.5882,1.6316,1.5909,1.5909,1.5909,1.6667,1.5926,1.6087,1.6364,1.6364,1.6364,1.6364,1.6667,1.7273,1.6667,1.6667,1.6667,1.7273,1.8148,1.76,1.68,1.68,1.68,1.7407
"000002.SZ",1.4,1.48,1.4231,1.4516,1.3871,1.3871,1.4722,1.4571,1.6389,1.6389,1.6667,1.7105,1.7368,1.7353,1.8,1.8378,1.8182,1.7576,1.6571,1.6216,1.4634,1.4103,1.4634,1.4634,1.4524,1.475,1.4286,1.6389,1.6875,1.7188,1.7813,1.7576,1.7143,1.7097,1.5938,1.5882,1.5526,1.5,1.4,1.375,1.3421,1.3611,1.375,1.3438,1.3438,1.3214,1.3824,1.4,1.4167,1.4167,1.3548,1.2632,1.2778,1.2857,1.2778,1.2286,1.2703,1.303,1.2941,1.3235,1.3143,1.2857,1.2727,1.2647,1.1935,1.1935,1.2188,1.2333,1.2286,1.2692,1.2333,1.2581,1.2581,1.2667,1.24,1.3548,1.3548,1.3333,1.3548,1.3548,1.3939,1.3667,1.3548,1.3226,1.3103,1.3448,1.2857,1.2759,1.3077,1.2593,1.3077,1.2414,1.2414,1.2083,1.25,1.24,1.4167,1.5455,1.6316,1.6364,1.6818,1.75,1.9474,2.0952,2.16,2.1667,2.2174,2.2174,2.1765,2.1364,2.15,1.9615,1.8261,1.8261,1.7826,1.75,1.6154,1.6538,1.4615,1.4138,1.4138,1.3929
"000004.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000005.SZ",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000006.SZ",1.5,1.5,1.6,1.5,1.6,2,2,2,2.2857,2.2857,2.5,2.5,2.6667,2.6667,3,2.5,2.25,2.25,2.1429,2.1429,1.9091,1.9091,1.9,2,1.875,1.875,2,1.8571,2.1429,2.1429,2.1429,1.8889,2.2727,2.375,2.2857,2.2857,2.2857,2.6,3,2,2,2,2,2,2,1.5,1.5,1.5,1.5,NA,NA,1,2.25,2,2,2,2,2.3333,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1,1,1,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.3333,1.3333,1.3333,1.4,1.4,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.3333,1.3333,1.4,1.4,1.3333,1.3333,1.3333,1.3333,NA,1.5,1.5,1.5,1.5,1.5,1.5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"000007.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000008.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1,1,1,1,1,1.5,1.6,1.7143,1.7143,1.7143,1.7143,1.6667,1.6667,1.5,1.3333,1.5,1.5,1.6667,1.6667,1.7143,1.8571,1.75,1.75,1.7143,1.7143,1.7143,1.6667,1.6,1.5,1.5,1.5,1.5,1.5
"000009.SZ",NA,NA,NA,NA,NA,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1.75,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000010.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000011.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
