"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"000001.SZ",27.3356,27.3356,27.3356,20.3744,22.2129,22.2129,22.2129,22.2129,21.659,21.659,22.2768,22.2768,22.2768,22.2768,22.2768,3.7439,4.2873,4.2873,4.2873,4.2873,4.3452,4.3452,4.8954,4.8954,4.8954,4.8954,4.8954,24.5766,24.816,24.816,24.816,24.816,18.9094,18.9094,19.0618,19.0618,19.0618,19.0618,18.7505,18.7505,19.7716,19.7716,19.7716,19.7716,20.9225,20.9225,13.2511,13.2511,13.2511,13.2511,13.2511,14.0206,14.7176,14.7176,14.7176,14.7176,15.4197,15.4197,15.698,15.698,15.698,15.698,15.698,15.8053,15.2804,15.2804,15.2804,15.2804,15.4817,15.4817,15.6573,15.6573,15.6573,15.6573,15.6573,13.5893,14.2336,14.2336,14.2336,14.2336,14.6949,14.6949,15.1725,15.1725,15.1725,15.1725,15.1725,15.1219,14.9059,14.9059,14.9059,14.9059,14.1271,14.1271,13.9039,13.9039,13.9039,13.9039,13.9039,13.5387,11.9007,11.9007,11.9007,11.9007,11.7746,11.7746,11.5241,11.5241,11.5241,11.5241,11.5241,11.1782,10.9402,10.9402,10.9402,10.9402,10.8113,10.8113,10.5602,10.5602,10.5602,10.5602,10.5602
"000002.SZ",10.5781,10.5781,10.5781,16.5453,16.3888,16.3888,16.3888,16.3888,17.446,17.446,17.2949,17.2949,17.2949,17.2949,17.2949,12.6464,12.4921,12.4921,12.4921,12.4921,13.0253,13.0253,13.4913,13.4913,13.4913,13.4913,13.4913,14.2598,14.5913,14.5913,14.5913,14.5913,14.1248,14.1248,14.0209,14.0209,14.0209,14.0209,14.0209,16.4655,16.1679,16.1679,16.1679,16.1679,16.1207,16.1207,16.1956,16.1956,16.1956,16.1956,16.1956,18.1712,18.0574,18.0574,18.0574,18.0574,18.8242,18.8242,19.7452,19.7452,19.7452,19.7452,19.6648,19.6648,19.4717,19.4717,19.4717,19.4717,20.0802,20.0802,19.9683,19.9683,19.9683,19.9683,19.9683,19.661,20.4424,20.4424,20.4424,20.4424,19.9919,19.9919,19.6314,19.6314,19.6314,19.6314,19.6314,17.8592,16.7267,16.7267,16.7267,16.7267,18.0841,18.0841,18.1519,18.1519,18.1519,18.1519,18.1519,18.0862,18.1866,18.1866,18.1866,18.1866,19.1097,19.1097,19.4488,19.4488,19.4488,19.4488,19.4488,18.5311,18.3246,18.3246,18.3246,18.3246,20.3959,20.3959,20.4954,20.4954,20.4954,20.4954,20.4954
"000004.SZ",-0.5388,-0.5388,-0.5388,-0.5388,-14.5802,-14.5802,-14.5802,-14.5802,-10.1613,-10.1613,-10.4415,-10.4415,-10.4415,-10.4415,-10.4415,-10.4415,-18.1394,-18.1394,-18.1394,-18.1394,-17.2821,-17.2821,-16.9839,-16.9839,-16.9839,-16.9839,-16.9839,-16.9839,5.2886,5.2886,5.2886,5.2886,10.8296,10.8296,10.8296,19.8969,19.8969,19.8969,19.8969,19.8969,16.3324,16.3324,16.3324,16.3324,11.4466,11.4466,3.6677,3.6677,3.6677,3.6677,3.6677,3.6677,3.7543,3.7543,3.7543,3.7543,2.5969,2.5969,2.7326,2.7326,2.7326,2.7326,2.7326,2.7326,3.583,3.583,3.583,3.583,3.6734,3.6734,4.2287,4.2287,4.2287,4.2287,4.2287,4.2287,-6.3202,-6.3202,-6.3202,-6.3202,-8.0791,-8.0791,-10.5686,-10.5686,-10.5686,-10.5686,-10.5686,-10.5686,6.0686,6.0686,6.0686,6.0686,11.9281,11.9281,11.9281,14.1965,14.1965,14.1965,14.1965,14.1965,14.1965,0.8951,0.8951,0.8951,3.5743,3.5743,14.1018,14.1018,14.1018,14.1018,14.1018,14.1018,32.5265,33.8618,33.8618,33.8618,27.8013,27.8013,16.6105,16.6105,16.6105,16.6105,16.6105
"000005.SZ",-5.9869,-5.9869,-5.9869,-5.9869,6.5413,6.5413,6.5413,6.5413,2.553,2.553,0.9127,0.9127,0.9127,0.9127,0.9127,0.9127,1.5932,1.5932,1.5932,1.5932,0.3796,0.3796,-1.5568,-1.5568,-1.5568,-1.5568,-1.5568,-1.5568,-8.5704,-8.5704,-8.5704,-8.5704,-9.1442,-9.1442,-9.4369,-9.4369,-9.4369,-9.4369,-9.4369,-9.4369,-9.4369,-0.5586,-0.5586,-0.5586,5.4113,5.4113,5.0948,5.0948,5.0948,5.0948,5.0948,5.0948,0.8461,0.8461,0.8461,0.8461,-7.1299,-7.1299,-2.4174,-2.4174,-2.4174,-2.4174,-2.4174,-2.4174,3.718,3.718,3.718,3.718,4.3695,4.3695,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,-6.7892,-6.7892,-6.7892,-6.7892,-7.5302,-7.5302,-7.6385,-7.6385,-7.6385,-7.6385,-7.6385,-7.6385,6.6168,6.6168,6.6168,6.9905,6.9905,6.9905,7.0757,7.0757,7.0757,7.0757,7.0757,7.0757,-4.7269,-4.7269,-4.7269,-4.7269,7.4412,7.4412,8.4497,8.4497,8.4497,8.4497,8.4497,8.4497,8.2775,8.2775,8.2775,8.2775,-2.8525,-2.8525,-3.2635,-3.2635,-3.2635,-3.2635,-3.2635
"000006.SZ",12.2942,12.2942,12.2942,14.6588,23.9911,23.9911,23.9911,23.9911,23.5389,23.5389,21.0285,21.0285,21.0285,21.0285,21.0285,21.0285,-1.0085,-1.0085,-1.0085,-1.0085,1.254,1.254,1.254,4.6937,4.6937,4.6937,4.6937,15.4841,14.1378,14.1378,14.1378,14.1378,15.7264,15.7264,15.7264,13.5824,13.5824,13.5824,13.5824,19.5847,19.8346,19.8346,19.8346,19.8346,20.1171,20.1171,23.2231,23.2231,23.2231,23.2231,23.2231,23.2231,15.8128,15.8128,15.8128,15.8128,18.1369,18.1369,15.9493,15.9493,15.9493,15.9493,15.9493,15.9493,16.9167,16.9167,16.9167,16.9167,16.9903,16.9903,16.9074,16.9074,16.9074,16.9074,16.9074,17.0069,16.271,16.271,16.271,16.271,12.2331,12.2331,14.713,14.713,14.713,14.713,14.713,14.713,15.6559,15.6559,15.6559,15.6559,16.9322,16.9322,12.8233,12.8233,12.8233,12.8233,12.8233,9.4866,5.9433,5.9433,5.9433,5.9433,6.0195,6.0195,5.8552,5.8552,5.8552,5.8552,5.8552,15.5556,16.3169,16.3169,16.3169,16.3169,18.4786,18.4786,19.6664,19.6664,19.6664,19.6664,19.6664
"000007.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7504,3.7504,6.3344,6.3344,6.3344,6.3344,2.0406,2.0406,2.2307,2.2307,2.2307,2.2307,4.4967,4.4967,5.6459,5.6459,5.6459,5.6459,5.6459,5.6459,-1.0632,-1.0632,-1.0632,-1.0632,0.5678,0.5678,11.8267,11.8267,11.8267,11.8267,11.8267,11.8267,7.6643,7.6643,7.6643,7.6643,4.8506,4.8506,-6.0083,-6.0083,-6.0083,-6.0083,-6.0083,-6.0083,-8.261,-8.261,-8.261,-8.261,-9.6864,-9.6864,-10.3085,-10.3085,-10.3085,-10.3085,-10.3085,-10.3085,3.7909,7.0312,7.0312,7.0312,8.5157,8.5157,11.2133,11.2133,11.2133,11.2133,11.2133,11.2133,21.0594,19.0511,19.0511,19.0511,22.5481,22.5481,18.6343,18.6343,18.6343,18.6343,18.6343
"000008.SZ",1.3574,1.3574,1.3574,2.2978,1.2743,1.2743,1.2743,1.2743,1.1303,1.1303,-0.2463,-0.2463,-0.2463,-0.2463,-0.2463,1.0245,0.4913,0.4913,0.4913,0.4913,0.2421,0.2421,0.4668,0.4668,0.4668,0.4668,0.4668,0.4275,0.5196,0.5196,0.5196,0.5196,0.8961,0.8961,0.6643,0.6643,0.6643,0.6643,1.1948,1.1948,0.9135,0.9135,0.9135,0.9135,0.7168,0.7168,0.4892,0.4892,0.4892,0.4892,0.4892,-0.7304,-0.3987,-0.3987,-0.3987,-0.3987,-0.1946,-0.1946,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,7.235,7.235,7.9128,7.9128,7.9128,8.9996,8.9996,10.0507,10.0507,10.0507,10.0507,10.0507,4.0381,4.154,4.154,4.154,4.154,3.643,3.643,2.7046,2.7046,2.7046,2.7046,1.3595,1.3595,2.1407,2.1407,2.1407,2.1407,2.4768,2.4768,2.4768,3.33,3.33,3.33,3.33,3.33,6.3847,2.5158,2.5158,2.5158,2.8002,2.8002,5.2829,5.2829,5.2829,5.2829,5.2829,5.2829,8.4701,8.4701,8.4701,8.4701,8.6879,8.6879,6.8374,6.8374,6.8374,6.8374,6.8374
"000009.SZ",17.4587,17.4587,17.4587,13.4751,16.2383,16.2383,16.2383,16.2383,15.7771,15.7771,14.7274,14.7274,14.7274,14.7274,14.7274,14.7274,8.922,8.922,8.922,8.922,10.9343,10.9343,10.9343,11.26,11.26,11.26,11.26,12.6037,11.8714,11.8714,11.8714,11.8714,13.0685,13.0685,13.0685,12.952,12.952,12.952,12.952,13.0475,13.2868,13.2868,13.2868,13.2868,13.2218,13.2218,11.5363,11.5363,11.5363,11.5363,11.5363,11.5363,7.4495,7.4495,7.4495,7.4495,3.7592,3.7592,3.4375,3.4375,3.4375,3.4375,3.4375,3.4375,3.4375,5.0835,5.0835,5.0835,4.6407,4.6407,12.5265,12.5265,12.5265,12.5265,12.5265,12.5265,10.6044,10.6044,10.6044,10.6044,14.6942,14.6942,7.1437,7.1437,7.1437,7.1437,7.1437,7.1437,7.6422,7.6422,7.6422,7.6422,5.1297,5.1297,5.1297,16.1681,16.1681,16.1681,16.1681,16.1681,16.2303,16.2303,16.2303,16.2303,15.5086,15.5086,6.1931,6.1931,6.1931,6.1931,6.1931,6.1931,5.2268,5.2268,5.2268,5.2268,5.3126,5.3126,4.3761,4.3761,4.3761,4.3761,4.3761
"000010.SZ",18.495,18.495,18.495,18.495,-41.4408,-41.4408,-41.4408,-41.4408,-39.6329,-39.6329,-15.2226,-15.2226,-15.2226,-15.2226,-15.2226,-15.2226,44.824,44.824,44.824,44.824,50.9009,50.9009,20.5238,20.5238,20.5238,20.5238,20.5238,20.5238,6.6059,6.6059,6.6059,6.6059,-6.0489,-6.0489,-1.8923,-1.8923,-1.8923,-1.8923,-1.8923,-1.8923,-2.2481,-5.9802,-5.9802,-5.9802,-3.9345,-3.9345,0.8878,0.8878,0.8878,0.8878,0.8878,0.8878,11.992,11.992,11.992,11.992,13.8732,13.8732,-1.6875,-1.6875,-1.6875,-1.6875,-1.6875,1.2942,-4.6574,-4.6574,-4.6574,-4.6574,1.705,1.705,2.4166,2.4166,2.4166,2.4166,2.4166,2.4166,0.406,0.406,0.406,0.406,-1.7714,-1.7714,-3.2111,-3.2111,-3.2111,-3.2111,-3.2111,-13.6476,-13.0411,-13.0411,-13.0411,-13.0411,-12.1347,-12.1347,-10.5537,-10.5537,-10.5537,-10.5537,-10.5537,-10.5537,0.1356,0.1356,0.1356,0.1356,2.6406,2.6406,2.3947,2.3947,2.3947,2.3947,2.3947,2.3947,2.1495,2.1495,2.1495,2.1495,-1.4748,-1.4748,1.374,1.374,1.374,1.374,1.374
"000011.SZ",-7.1357,-7.1357,-7.1357,-7.1357,-4.7727,-4.7727,-4.7727,-4.7727,-2.707,-2.707,-1.9898,-1.9898,-1.9898,-1.9898,-1.9898,-1.9898,5.6594,5.6594,5.6594,5.6594,17.6154,17.6154,25.0277,25.0277,25.0277,25.0277,14.6549,14.6549,12.2357,12.2357,12.2357,12.2357,14.898,14.898,9.0194,9.0194,9.0194,9.0194,9.0194,9.0194,20.0185,39.3927,39.3927,39.3927,29.657,29.657,29.3072,29.3072,29.3072,29.3072,29.3072,22.7792,-1.9092,-1.9092,-1.9092,-1.9092,4.5758,4.5758,9.6489,9.6489,9.6489,9.6489,9.6489,9.6489,24.9756,34.8566,34.8566,34.8566,33.9863,33.9863,29.9697,29.9697,29.9697,29.9697,29.9697,29.9697,5.0383,5.0383,5.0383,5.0383,3.3583,3.3583,13.5383,13.5383,13.5383,13.5383,13.5383,13.5383,18.7972,18.7972,18.7972,18.7972,17.074,17.074,7.0957,7.0957,7.0957,7.0957,7.0957,7.4679,7.4679,7.4754,7.4754,7.4754,5.8794,5.8794,5.043,5.043,5.043,5.043,5.043,14.7217,14.7217,24.1804,24.1804,24.1804,27.1746,27.1746,32.59,32.59,32.59,32.59,32.59
