"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"000001.SZ",0.012962,0.01246768,0.01234973,0.01346257,0.01383812,0.01307428,0.01113258,0.00836625,0.00679687,0.00631655,0.00818938,0.01261377,0.01690305,0.01970448,NA,0.020534,0.01819188,0.0150342,0.0163709,NA,0.01820507,0.01405922,0.01216405,0.0104067,0.01007492,0.01228122,0.01208985,0.01175497,0.01071325,0.01142258,NA,NA,NA,NA,0.0137112,0.01573848,0.01393363,0.00950302,0.00793745,0.00922047,0.01205838,0.0122564,0.010695,0.0078293,0.00699935,0.00627903,0.00584892,0.00502138,0.00505895,0.00540743,0.00614627,0.0070627,0.00728318,0.00658518,0.0061012,0.00521398,0.00466785,0.0042387,0.00425938,0.00400693,0.00608442,0.0117295,0.01623952,0.02194933,0.02261717,0.02030555,0.0173399,0.01655288,0.01724155,0.01910198,0.01922333,0.01784338,0.01408505,0.01023022,0.00973105,0.00956852,0.01017408,0.008562,0.00775708,0.00767157,0.00861462,0.0083718,0.00821233,0.0107573,0.0197706,0.02144432,0.0200348,0.0150632,0.01769185,0.02032177,0.02081333,0.01895332,0.01579867,0.01142153,0.0072819,0.00681573,0.00647587,0.00580863,0.0047962,0.00429675,0.00405672,0.00359663,0.00303957,0.00280662,0.0037168,0.00381202,0.00390362,0.00396287,0.00437473,0.00412017,0.00331098,0.00291412,0.00293518,0.00323312,0.00325047,0.00581665,0.00699503,0.00736892,0.0053493,0.0071458,0.00848168,0.0111067,0.01123265
"000002.SZ",0.01381938,0.01246892,0.01253715,0.01292625,0.01302947,0.01439188,0.01291573,0.0118469,0.01003132,0.01010777,0.0123736,0.01863705,0.02063512,0.0178975,0.01929203,0.01912787,0.02236628,0.02074288,0.02017523,0.0215841,0.02151647,0.02116877,0.01822932,0.01767525,0.0174152,0.01661527,0.01309713,0.00916882,0.00812588,0.0082405,0.0076568,0.00679587,0.00802212,0.0088675,0.01159258,0.0123778,0.01315047,0.01103612,0.01034497,NA,0.00921257,0.00685703,0.00511303,0.00499897,0.0050519,0.00418858,0.00435655,0.00423737,0.004395,0.00484165,0.0063123,0.00670603,0.0064059,0.00541137,0.00541763,0.00544097,0.00561752,0.00532213,0.00505802,0.00476097,NA,0.0077977,0.00915197,0.01132037,0.0102835,0.00875455,0.00870587,0.00984095,0.0105831,0.01048043,0.00993837,0.00880253,0.0070254,0.00679578,0.00758373,0.01043462,0.01064002,0.01017672,0.00759913,0.00795293,0.00719803,0.00763288,0.00729035,0.00978285,0.01799672,0.0251198,0.0261574,0.0263075,0.03006983,0.03622435,0.0379499,0.0363056,0.02797743,0.01933915,0.00983958,0.00708118,NA,NA,NA,NA,NA,NA,NA,0.01822005,0.02491717,0.02026697,0.01662023,0.01183468,0.00822702,0.00658557,0.00410605,0.0033152,0.00341398,0.0033735,0.003892,0.00482562,0.005174,0.00533465,0.00482885,0.00566192,0.0048293,0.00573265,0.00600827
"000004.SZ",0.0267664,0.02889162,0.02551975,0.02395098,0.01426285,0.01329162,0.01150177,0.01094745,0.00953452,0.009846,0.00852862,0.00843648,0.01052093,0.01139245,0.01717683,0.02167265,0.02739935,0.02740068,0.02866893,0.02752383,0.02641887,0.02542858,0.02270588,NA,NA,NA,0.02334952,NA,0.03011653,0.02597017,0.01934657,0.01100647,0.01271047,0.01482703,0.01696308,0.01776568,0.0143768,0.01075547,0.0103822,0.01204497,0.01387253,0.01133353,0.03681597,0.05735208,0.0651021,0.03716453,0.01975185,0.01266852,0.00992177,0.01222048,0.0169576,0.02244332,0.02182727,0.01816937,0.01859102,0.04736207,0.04941663,0.0436601,0.01968515,0.01371237,0.0103087,0.01765783,0.02302862,0.02563912,NA,0.0343905,0.03188462,0.02736557,0.0307243,0.03401853,0.03785695,0.02247687,0.01594253,0.01452332,0.02381128,0.0279313,0.02649637,0.01906707,0.01614958,0.01599778,0.02056943,0.03823143,0.05006412,0.05209183,0.04157865,0.03417557,0.02992008,0.03281677,0.03716228,0.04635403,0.0497438,0.06205537,0.07368568,0.07153582,0.06430083,0.04921827,0.04372978,0.0375226,0.03156647,NA,NA,NA,NA,NA,NA,0.03215763,0.03362563,0.03818147,0.02797363,0.02113147,0.01443025,0.01367697,NA,NA,0.01968943,0.02139227,0.02185878,0.01725502,0.01464028,0.02373845,0.02384272,0.02382915,0.01980438
"000005.SZ",0.01259033,0.01378045,0.01510602,0.01736415,0.01349405,0.01315842,0.01215018,0.0124659,0.01137785,0.01157008,0.0108935,0.01641548,0.02392572,0.02539053,0.03449012,0.0343024,0.04049352,0.04089667,0.04247457,0.05598803,0.04523745,0.0354952,0.02953793,0.0446911,0.05299583,0.05296755,0.04426275,0.03284207,0.02858833,0.02424783,0.01535263,0.01456268,0.01954775,0.02017613,0.02052143,0.01458673,0.01359297,0.01026005,0.01135272,0.01168538,0.01287538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01591657,0.01242125,0.01178648,0.0076741,0.00826842,0.00735818,0.00703067,0.00565245,0.00796143,0.01156423,0.01246465,0.0111974,0.00849807,0.00654198,0.00588415,0.00514273,0.00648713,0.00934788,0.01404188,0.01485283,0.01145235,0.00633542,0.00508045,0.00690857,0.00825633,0.00764393,0.00475492,0.00720615,0.01235933,0.04142525,0.05344748,0.0556245,NA,NA,NA,NA,NA,0.03920872,0.05557512,0.05587645,NA,0.0539815,0.07922355,0.08481762,0.0877864,0.05257715,0.04127098,0.03740578,0.03768235,0.0258609,0.02606983,0.022039,0.02064182,0.01412298,0.013839,0.01559217,0.01380797,0.011602,0.00854255,0.00969165,0.01132823,0.01083588,0.00869638,0.00664928,0.00657073,0.0117093,0.01197217,0.011418,0.00525723,0.00465623,0.00454478
"000006.SZ",0.0145228,0.01364403,0.0130715,0.01108905,0.0141341,0.02254763,0.02568127,0.02228905,0.01678533,NA,0.01126857,0.01737075,0.026632,NA,0.03856455,0.04001497,0.0444424,0.03867585,0.02715128,0.02888305,0.02696952,0.02384593,0.01997882,0.02241133,0.02572245,0.02687642,0.0236433,0.02347885,0.0228174,0.02232482,0.01526558,0.02078153,0.03744862,0.04338512,0.04172695,0.02472448,0.0302828,0.03200107,0.03128157,0.02559667,0.02382843,0.02203883,0.01561757,0.01184147,0.00862645,0.00620267,0.00492002,0.00384603,0.00297985,0.00389005,0.0056494,0.00937593,0.01709653,0.01817008,0.01731345,0.00847537,0.00684803,0.0049616,0.00446457,0.0053084,0.0099266,0.01496298,0.01684112,0.01509663,0.0102286,0.00848158,0.00788912,0.00710163,0.00818483,0.0110026,0.0127328,0.01593108,0.01374472,0.01284167,0.01016198,0.0142051,0.01890732,0.01714327,0.01061527,0.00660677,0.01076648,0.0141877,0.0167143,0.02032355,0.03108188,0.0334867,0.02993677,0.0287919,0.03929575,0.05219812,0.05534477,0.05507635,0.05268093,0.0442873,0.03929517,0.03626473,0.03458948,0.02691135,0.02130285,0.02473938,0.02586447,0.01745125,0.01247967,0.01090272,0.0217901,0.03015897,0.03734348,0.03056067,0.02646393,0.02065632,0.01817018,0.01227737,0.013014,0.01475767,0.0186091,0.01546507,0.01196478,NA,NA,NA,NA,NA,NA
"000007.SZ",0.01757218,0.02258882,0.02410735,0.02731762,0.02395302,0.02684905,0.02497983,0.0240311,0.01482508,0.01115365,0.00891298,NA,0.01120418,0.01361858,0.02183332,0.02665933,0.03967025,0.04292193,0.05728593,0.06261178,0.05483192,0.03991452,0.02671277,0.02586912,0.02323967,0.02425012,0.01820162,0.01756522,NA,0.02357925,0.01942002,0.0138998,0.0106729,0.01256303,0.01576932,0.0177431,0.01503423,0.01223837,0.01095048,0.01419555,0.01635073,0.01694992,0.0151874,0.01334118,0.00993815,0.00643127,0.00462893,0.00545555,0.0056342,0.00659523,0.00884283,0.01951445,0.02429638,0.03985707,0.03397218,0.02947218,0.01934348,NA,0.01839808,0.01354937,0.01174487,0.01573722,0.02368062,0.03390338,0.03667487,0.03563842,0.02738462,0.02371847,0.01872865,0.01776157,0.0169381,0.01441225,0.01056393,0.00908298,0.0126914,0.01387813,0.01320523,NA,NA,NA,NA,0.02004407,0.02081277,0.02313678,0.01432402,0.01497207,0.01914567,0.03270345,0.04290598,NA,NA,NA,NA,NA,NA,0.05642703,NA,NA,NA,NA,NA,NA,NA,0.05731198,0.06604785,0.05676848,0.05124022,0.03274057,0.01933143,NA,NA,NA,NA,NA,NA,0.01551172,0.0122607,0.01162293,NA,NA,NA,NA,NA
"000008.SZ",0.0160824,0.01852618,0.01848587,0.01588427,0.01185282,0.01112912,0.01126223,0.00929583,0.0077939,0.0069597,0.00803687,0.01229572,0.01605712,0.01644487,0.01545005,0.01526173,0.01720377,0.01750365,0.02407228,0.02732403,0.0265542,0.02143627,0.01860528,0.02141342,NA,0.03262438,0.03370648,0.03399708,0.03051892,NA,0.03122273,0.02634157,0.0183599,0.01315987,0.01295758,0.0129559,0.0119704,0.01032865,NA,0.0115364,0.01279438,0.01424103,0.01085823,0.00877342,0.00770253,0.00848745,0.00864653,0.008877,0.00816997,0.00913182,NA,NA,0.01517382,0.01580533,0.0119813,0.00870205,0.0082776,0.0066048,0.00552128,0.0042605,0.00317888,0.00446518,0.00683222,0.00932615,0.0109251,0.01661513,0.0369583,0.04602088,0.04591183,0.03027313,0.0273489,0.01882865,0.0162989,0.00898768,0.00955365,0.00953562,0.00860515,0.0098293,NA,NA,NA,0.01602687,0.02927415,0.03560088,0.04160223,0.02496735,0.0191673,NA,NA,NA,NA,0.04224115,0.0500414,0.05279692,0.05221843,0.06140075,0.05889028,0.03892777,0.02016655,0.01450338,0.01206267,0.01169545,0.00989988,0.00913898,0.00938657,0.00747835,0.00976293,0.01197047,0.01259025,0.00913315,0.00599905,0.00423838,0.00484927,0.00484378,0.00419432,0.00304405,0.0034983,0.00476268,0.00536093,0.00501585,0.00397795,0.00338367,0.00343575
"000009.SZ",NA,0.0164739,0.01538195,NA,NA,0.01954362,0.01946735,0.02344735,0.01801603,0.01468387,0.02833805,0.04778463,0.05869288,0.05441692,0.05395905,0.0564888,0.05134205,0.04345923,0.03752313,0.03584478,0.03145333,0.02703105,0.02450032,0.02552497,0.0251663,0.02716385,0.02885293,0.02992212,0.02822837,0.0243223,NA,0.01685628,0.0155936,0.02170105,0.0269672,0.03601067,0.03462303,0.03091358,0.04327667,0.05117413,0.05498387,0.03804782,0.02278813,0.02019582,0.0178082,0.0149919,0.01214478,0.01700047,0.01951922,0.02771432,0.03375228,0.03829372,0.03537718,0.02543483,0.01974938,0.01383133,0.01650107,0.01686697,0.01577605,0.01052597,0.00998012,0.01453112,0.01643278,0.02582857,0.02737248,0.03420552,0.03483522,0.03330487,0.02500645,0.02103518,0.020043,0.01830818,0.01436328,0.01053647,0.01598757,0.02201923,0.02539452,NA,NA,NA,0.02287003,0.03168193,0.03346263,0.030031,NA,0.02857795,0.03169053,0.03303345,0.04280592,0.04826588,0.05250967,NA,0.05376585,0.05429233,0.0641446,0.07919368,0.07949328,0.0596715,0.04772837,0.04206837,0.04613182,0.04030292,0.03971713,0.03832748,0.04769435,0.04374635,0.03431028,0.02199732,0.02038005,0.01965492,0.01717795,0.01207547,0.01158908,0.0106777,0.01098273,0.0160402,0.02071507,0.02527777,0.02002127,0.01599413,0.00799002,0.00836168,0.00870942
"000010.SZ",NA,NA,NA,NA,0.057993,0.05118375,0.04631298,0.02993887,0.02050983,0.01337703,0.0088977,0.01056643,0.013975,0.01468603,0.02208117,0.03050542,0.04751967,0.04775348,0.04524162,0.03909975,0.04199967,0.03965827,0.03563797,0.04308672,0.04554583,0.04527913,0.03629247,0.03381612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03211525,0.03267402,0.03102483,0.03393187,0.0244971,NA,NA,0.02690335,0.02654613,NA,NA,NA,NA,NA,NA,NA,0.03745218,NA,0.04203975,0.06311352,0.05757037,0.05449012,0.0317692,0.03159487,0.02624192,0.02669633,0.01972752,0.01934885,0.02098028,0.02916502,0.03175733,0.03552607,0.03003633,NA,NA,NA,NA,NA,0.02684192,0.0470144,0.06277867,0.08469055,0.07309258,0.07972383,0.0697537,0.073005,0.05765928,0.0480215,0.03907445,0.04000933,0.03770285,0.03300168,0.02701488,0.02707433,0.0397045,0.04391638,0.0463847,0.03889338,0.03298487,0.03001153,0.02467575,0.0249587,0.02186868,0.02116045,0.01668355,0.01302012,0.0130505,0.04028023,0.05038467,0.05134132,0.02599565,0.02293762
"000011.SZ",0.01213262,0.01199177,0.01169067,0.01107728,0.0097875,0.01157118,0.0120905,0.00977515,0.00758872,0.00657675,0.00665372,0.0078611,0.0100965,0.01132208,0.01835743,0.02561242,0.03612748,0.03715593,0.03813028,0.04076062,NA,0.0360676,NA,0.07443083,0.08306923,0.07771477,0.05485543,0.06767073,0.06208912,0.0614138,NA,0.0519165,0.05912267,0.0681199,0.06761263,0.05190582,0.04127673,0.04173753,0.04323943,0.05791588,0.06728147,0.11232635,0.13245727,0.1364423,0.08354332,0.04540643,0.0357557,0.03037828,0.0348954,0.0357658,0.05225245,0.06552193,0.09599738,0.09205278,0.08620413,0.05182868,0.0407261,0.02608773,0.02474222,0.0261136,0.03917175,0.05142165,0.05084693,0.04163838,0.03597152,0.04877487,0.06068355,0.05458262,0.05171,0.05125212,0.04774127,0.03692428,0.02234545,0.01618047,0.0160712,0.02079752,0.02715287,0.02531003,0.01464128,0.01178483,0.02671455,0.03522598,0.0417016,0.04979842,0.06738237,0.0635115,0.05063992,0.05001672,0.07693253,0.10638022,0.11136392,0.10623928,0.10697275,0.11351573,0.11833003,0.10701135,0.08901277,0.05969793,0.0752242,0.11016835,0.13006822,0.08764102,0.0615738,0.04778918,0.07206755,0.07635738,0.09663393,0.08335815,0.10142685,0.0858492,0.0786187,0.04708502,0.04834825,0.06127263,0.09739137,0.08937168,0.06756783,0.06209145,0.05545323,0.04856317,0.02377608,0.0272902,0.02678838
