"","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"000001.SZ",-0.17948328735253,-0.148188805690866,-0.0187167060878593,-0.00450790609981569,-0.114593498248703,-0.0908731696903004,0.107597719397957,0.0952773106693654,0.120376242132662,0.0900673188201939,0.0817437898826976,0.0157792231610367,0.140841790535636,-0.0564286918038479,-0.171099682953071,-0.170574875205307,-0.146067744941634,-0.435911027800987,-0.472641727479151,-0.472678905234471,-0.489193017128638,-0.452112216264951,-0.493162836573526,-0.363494987991093,-0.421977639334604,-0.377990373534972,-0.309587126136657,-0.28929176503583,-0.249661857543022,-0.276689957173241,-0.157120144327332,-0.295723763968472,-0.104650172378768,-0.125518054867262,-0.0616142636624961,-0.00491297946302316,0.0399293205275357,0.0453620718023559,0.0323550828010746,-0.21586605917469,-0.13231815859126,-0.108630087788975,-0.1308590381353,-0.505671511470724,-0.502965392362936,-0.286731575673701,-0.396834360698406,-0.368218311239491,-0.372692834172692,-0.45943209437499,-0.275297734285024,-0.273865536545357,-0.287695709774281,-0.266460101712065,-0.288628027881176,-0.0780459312931257,-0.0440936098459201,-0.243330738576791,-0.257961945550055,-0.251912715049202,-0.230071561002401,-0.404924467067441,-0.203667562819024,0.0432391276345923,0.120187337638553,0.142208914515272,0.1580426385577,-0.0246746533656438,-0.172289881153168,-0.398839122909081,-0.360582123097527,-0.430877709102298,-0.399811259300593,-0.303941586344875,-0.255086059775086,-0.41934720273607,-0.420715767418733,-0.435251746915394,-0.358062731132418,-0.422729837270073,-0.54791631787841,-0.321443049660773,-0.305754109168074,-0.280252613063175,-0.510630696207281,-0.358628238770138,-0.241109941847698,-0.134647710660574,-0.099129646638567,0.51029500246968,0.569325238037776,0.153530122618425,0.156345666810255,0.283599191429103,0.2806959952419,-0.072575181526685,-0.0632314981840183,0.154974291177353,0.261303919156837,0.122146601594596,0.122829349432132,0.134230053780104,0.341996095595663,0.080519474661522,0.142766242607576,0.223377823739676,0.215246320507661,0.21669557821283,0.216409096204423,0.36071662685856,0.505489342958082,0.334585074627824,0.338979587288352,0.347791570851947,0.536238520174609,0.736620857856507,0.591853255988222,0.31076224364238,0.313324013768621,0.325832053185504,0.528983640911888
"000002.SZ",-0.914308773617036,-0.987276072610056,-0.986283248693245,-1.18153283422524,-1.21493068897477,-1.03043282812757,-1.12213635341813,-0.972987533690248,-0.997739163026644,-1.1833568512754,-1.13631223948005,-1.13895361282496,-1.22326120667521,-1.13861088222528,-1.14010437233522,-1.16884932086578,-1.25168433249641,-1.34536119699203,-1.34471352728776,-1.55083554451632,-1.5370623215249,-1.4204012906919,-1.35430929553657,-1.34697855722543,-1.2827040394765,-1.30048049787942,-0.934613558637086,-0.836555891261817,-0.739065233918748,-0.60284033269799,-0.644383393931197,-0.756182856837749,-0.730110759498113,-0.909105053496153,-0.856786701414288,-0.862457604779615,-0.909418831460532,-1.00800359904798,-1.05182876516606,-1.08477112431192,-1.05940476677168,-0.991815523571133,-1.05939453054303,-1.10289605931358,-1.15165694876575,-1.02685741227457,-0.995222940021759,-0.959067459236237,-0.962347714883102,-1.04086823435118,-1.23523487666368,-1.22537305082686,-1.22990082473051,-1.22459117235433,-1.35378977359142,-1.31976594387747,-1.24415254404969,-1.29258276793648,-1.23762326907188,-1.25444410117014,-1.28610307310746,-1.23032967284879,-1.28849896643006,-1.42562781896819,-1.40017121976786,-1.30385847391131,-1.24484187476887,-1.29519698417375,-1.17413917408115,-1.20907868610376,-1.17977963282978,-1.13913653530758,-1.06551635988545,-0.985719116788761,-0.760602611548505,-0.795054076805571,-0.840314974563174,-0.783199319717072,-0.787334785535111,-0.767918667593185,-0.79898247431676,-0.804913025825461,-0.863470934168185,-0.854196029076314,-0.75727671160744,-0.829045737670913,-0.809550184395871,-0.658085963215065,-0.709006180621434,-0.551448500710079,-0.702722193555069,-0.756514097599783,-0.842147548927835,-0.760675942199431,-0.797652072780582,-0.353920078794067,-0.00575346825234042,0.269957378427086,0.274093020803041,0.366920756164098,0.554964361928182,1.09814141489559,1.52314084483229,1.68710948301263,1.72287065999988,1.86604862287996,1.86159562209154,1.75934741653538,1.64639401224023,1.73982157452068,1.17302788619597,0.780680716131568,0.790690069246736,0.680074424851307,0.601779578275794,0.149298736447412,0.273184485628324,-0.339036160352689,-0.474476679229944,-0.463671488616585,-0.493740387918729
"000004.SZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"000005.SZ",-1.77690655646605,-1.74007043782106,-1.78306124037923,-1.87920268747159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22376493640629,1.23399486553605,1.24036227771376,1.26072548864249,1.23407035482057,1.25082154462479,1.25139004846843,1.24556061664518,1.25522216294543,1.25629412714566,1.31179396816993,1.28276415397846,1.26735594861275,0,0,0,0,0,0,0,0,0
"000006.SZ",-0.878367199331661,-0.672529385761022,-0.900888973233542,-0.797724276715818,-0.114593498248703,-0.0908731696903004,-0.163872210843345,0.204306215384207,0.185695698791453,0.236994321178968,0.20285394236355,0.462278215662034,0.372876395840094,0.898437946803296,0.0137796508779781,-0.400617444843338,-0.376011809234433,-0.503335482882999,-0.448751703794997,-0.781734369535656,-0.694034565020294,-0.67348431207917,-0.443246224007451,-0.625666241435026,-0.592327941508265,-0.324710677349213,-0.55693211977917,-0.0390388253952107,-0.000957225665030846,0.0261515381806724,-0.414330662277161,0.247017913580526,0.4618655470344,0.337821911433308,0.400313877307097,0.456053227476244,1.06315949718865,1.80097152321958,0.100577535819415,0.107911208994535,0.147432303249653,0.165640751043773,0.216369686621861,0.197365215717885,-0.793854873492302,-0.808660374459923,-0.807522632831247,-0.800607272410322,0,0,-1.70590450385083,0.52430655080824,0.0623747390429806,0.0842082587367297,0.101774036224137,0.0307827119323315,0.647845497128801,-0.913230717286505,-0.91357862214234,-0.911463116640557,-0.890045052379222,-1.11706075194673,-1.15144660125931,-1.14022462350596,-1.80905152672844,-1.75963425119125,-1.72636748453655,-0.741980618729631,-0.693218174064972,-0.450552140728502,-0.416400977671815,-0.379557825522178,-0.350237475214486,-0.459562518642693,-0.804928084073499,-0.839706911479392,-0.840314974563174,-0.68799816783671,-0.690705817113788,-0.900481678477726,-0.872027854325827,-0.851714486822943,-0.840004280501251,-0.804681030695585,-0.78226727704446,-0.724557296477834,-0.291293641047435,-0.20406171438228,-0.16551383804581,-0.491972278212483,-0.484785655592015,-0.37427624451025,-0.37608680031086,-0.559221290436446,-0.569924877790773,-0.573006581428052,-0.567819733298517,0,-0.0893306176432295,-0.122627552974907,-0.124066141679691,-0.11154706466421,-0.117506424119029,-0.181676920779635,0,-1.57592630117061,-1.58808706250092,-1.60101156844236,-1.60367570492596,-1.54172340750174,-1.56752851569656,-1.53123653259016,-1.5503264247672,-1.56362325884066,-1.5636738832171,-1.66332931528357,-1.68863888594702,-1.71149365895097,-1.69908947698654,-1.69093131430293,-1.64908331755516
"000007.SZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307827119323315,0.0357878953382637,-0.913230717286505,-0.91357862214234,-0.911463116640557,-1.19813124955793,-1.11706075194673,-1.15144660125931,-1.14022462350596,-1.10476312202579,-1.06534692684296,-1.03844427092503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"000008.SZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6009507632187,-0.488839903182,-0.474406975241642,-0.445804933736132,-0.78226727704446,-0.724557296477834,-0.676806205867534,-0.597643837525417,-1.29449668510776,-1.2663248156519,-1.27519096683343,-1.3383061388092,-1.3485661923129,-0.156070144591433,0.0810380686591954,0.427856218374681,0.44135673693048,0.48906109537531,0.481649482936211,0.326259702984786,0.328711398126039,-0.11154706466421,-0.577008943833722,-0.181676920779635,-0.165042628665799,0.309045509133739,0.301105845185788,0.439196185887939,0.847604438142629,0.59841462425201,0.570190986559705,0.467798076733082,0.473869292063879,0.484259766282228,0.361269880485983,0.103938853449919,-0.188315108358045,-0.224540789397036,-0.219373674960686,-0.20801707350261,-0.178807255406484
"000009.SZ",0,0,0,0,0.783054723913204,0.79919850370613,0.718669825051653,0.594371228412433,0.57779540640991,0.236994321178968,0,0,0,-2.49664343491099,-2.59997153429237,-2.62454019849792,-2.59898226836822,-2.48429717216914,-2.4130616367892,-2.3504798893358,-2.23051518538584,-2.21316658590295,-2.14109018883994,-2.11915482713452,-2.10252565581377,-2.03239324740558,-0.309587126136657,-0.28929176503583,-0.249661857543022,-0.222418534685923,-0.2196706585699,-0.242904812230834,-0.657907775651337,-0.627604848376942,-1.01574909717519,-0.957060891884591,-0.909418831460532,-0.832442653906254,-0.821347504968964,-0.798520112867795,-0.985925408462352,-0.945517272586537,-0.950132188262219,0.197365215717885,0.207830667586783,0.119048119649963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.535824023123716,-0.507457050508119,-0.488839903182,-0.474406975241642,-0.445804933736132,-0.420012732839998,-1.45619589836131,-1.4476000742211,-1.38457198175822,-1.29449668510776,-1.2663248156519,-1.27519096683343,-1.3383061388092,-1.3485661923129,-1.36528173980743,-1.3834455004071,-1.44856451101926,-1.45065048796341,-1.4033909604423,-1.42152870578938,-1.46902004235611,-1.48212714889544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"000010.SZ",0,0,0,0,0,0,0,0,0,0,0,0,0.944051683491317,0.898437946803296,0.88503004593476,0.933736207349415,0.957770466245839,0.98225578834559,1.02435184294516,1.10072574216821,1.14970837718274,1.20834957814989,1.25459774082504,1.29453336875004,1.34935483402739,1.38297189270715,1.42130856065489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48212714889544,-1.46345640704217,-1.49573833688055,-1.59742419637984,-1.58090680195639,-1.57592630117061,-1.58808706250092,-1.60101156844236,-1.60367570492596,0,0,0,0,0,0,0,0,0,0,0,0
"000011.SZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
