"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131","d20180209"
"000001.SZ",0.276005,0.2831775,0.3320425,0.4107325,0.4792575,0.4263075,0.4371425,0.356585,0.31984,0.40276,0.511705,0.63832,0.50772,0.3871225,NA,0.3215325,0.28169,0.1656775,0.173845,NA,0.2962625,0.2435,0.2513525,0.1883725,0.1508575,0.141905,0.1538825,0.1275525,0.1127375,0.15586,NA,NA,NA,NA,0.145815,0.1324375,0.1093075,0.0813,0.0585725,0.05651,0.063085,0.074985,0.0858,0.0795025,0.083835,0.0823975,0.09197,0.06284,0.0539525,0.064255,0.057845,0.05236,0.037605,0.0360875,0.04662,0.039355,0.03622,0.038455,0.039885,0.0426975,0.07716,0.19289,0.2702225,0.377745,0.34275,0.2546125,0.2302225,0.236965,0.23022,0.2234425,0.19615,0.21349,0.1546725,0.0963075,0.0811075,0.0958425,0.09484,0.0740525,0.047315,0.0466025,0.0506925,0.0463625,0.03967,0.08182,0.2496375,0.3069625,0.3099625,0.1427575,0.1544575,0.17864,0.23573,0.29465,0.39147,0.32561,0.213315,0.11243,0.0905925,0.11468,0.113665,0.1016125,0.0557625,0.0238575,0.017555,0.015745,0.01898,0.020305,0.0177525,0.0102925,0.0105775,0.0094425,0.0090275,0.0077625,0.0090975,0.0174525,0.017035,0.0515625,0.080555,0.100405,0.0734275,0.12779,0.147295,0.1578825,0.205755
"000002.SZ",0.3120925,0.2750775,0.314695,0.38677,0.4615475,0.4587325,0.474785,0.407205,0.4328075,0.46361,0.4917075,0.5746775,0.42713,0.3119525,0.23842,0.19467,0.200375,0.16696,0.192305,0.22027,0.25735,0.2516,0.2729225,0.210085,0.13312,0.0908275,0.089645,0.0517825,0.073395,0.1369825,0.1447925,0.1308675,0.09879,0.112635,0.1478525,0.1660725,0.2016975,0.205505,0.167685,NA,0.05447,0.0424575,0.0515125,0.04762,0.0552775,0.0603875,0.082995,0.0843725,0.0905975,0.0881875,0.095205,0.0873275,0.073385,0.069445,0.06501,0.073975,0.0873775,0.0958775,0.0887775,0.0718075,NA,0.1372425,0.178375,0.235335,0.1770125,0.14386,0.17223,0.2250425,0.2026375,0.13798,0.0804225,0.0784775,0.0556075,0.077495,0.0875575,0.15749,0.1310025,0.107715,0.048625,0.071255,0.0678475,0.0612325,0.0491075,0.08969,0.2386,0.349605,0.3395075,0.268585,0.136265,0.1810025,0.21585,0.3246925,0.301635,0.21442,0.1022,0.0778975,NA,NA,NA,NA,NA,NA,NA,0.3946275,0.6345525,0.39112,0.3707525,0.2114675,0.13993,0.1540275,0.0988075,0.0538475,0.030855,0.06268,0.1574225,0.1883625,0.1770925,0.1715625,0.1604,0.2817,0.197645,0.25538,0.287575
"000004.SZ",0.1991225,0.1815575,0.141965,0.1859025,0.2200975,0.2404775,0.26467,0.253145,0.2517325,0.205255,0.1722,0.2117875,0.220865,0.2090375,0.210915,0.1927975,0.2001875,0.171815,0.1512725,0.10657,0.159605,0.218825,0.23628,NA,NA,NA,0.256165,NA,0.1954675,0.1822025,0.15248,0.1323825,0.09263,0.0729775,0.090575,0.13559,0.1419575,0.1060375,0.05283,0.0592425,0.09014,0.0966025,0.2512225,0.27255,0.2533125,0.1583375,0.1099775,0.0902075,0.1168725,0.206175,0.2172325,0.2177675,0.147155,0.162655,0.1233225,0.2933625,0.27509,0.207445,0.0910425,0.086745,0.0893975,0.1553825,0.17312,0.1457725,NA,0.2232025,0.25461,0.2280575,0.3151475,0.2934475,0.3114,0.1486275,0.1330875,0.1096325,0.1699175,0.16846,0.178475,0.13449,0.10218,0.0452675,0.0536225,0.161,0.2069275,0.2449625,0.2849825,0.2608625,0.2225925,0.172825,0.2133525,0.3176,0.5274675,1.00529,1.2236875,1.1167325,0.8345325,0.622755,0.3979675,0.57723,0.5556425,NA,NA,NA,NA,NA,NA,0.5697025,0.369715,0.2644425,0.166615,0.178915,0.1236825,0.0772425,NA,NA,0.1601125,0.18333,0.1944175,0.1108925,0.061935,0.2244075,0.2692525,0.3029,0.194315
"000005.SZ",0.18365,0.17018,0.1560725,0.2027775,0.2620875,0.28497,0.3909875,0.42057,0.53222,0.5713475,0.5559775,0.6359325,0.5690875,0.4629225,0.360165,0.26333,0.2826975,0.1970975,0.18239,0.231785,0.30338,0.3180725,0.3365,0.323005,0.2926125,0.309195,0.2739225,0.15921,0.1548075,0.2144425,0.22555,0.258015,0.1799175,0.155745,0.14712,0.1003225,0.10042,0.10675,0.146685,0.1382725,0.1294225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19007,0.116645,0.1316775,0.1311725,0.1913675,0.1870325,0.1312525,0.10747,0.150375,0.18889,0.1839475,0.1334575,0.09344,0.08461,0.078255,0.0762925,0.1246575,0.13016,0.1765275,0.188305,0.12762,0.0715525,0.0576225,0.087555,0.085255,0.07608,0.037145,0.0362175,0.05187,0.25567,0.32202,0.3322875,NA,NA,NA,NA,NA,0.5828475,0.84571,1.37778,NA,1.31242,1.2082375,0.949515,0.5910825,0.5271075,0.54846,0.5137025,0.2697425,0.1359375,0.1954325,0.1769575,0.1299625,0.04623,0.03947,0.032925,0.03882,0.0435725,0.040175,0.02898,0.039055,0.07309,0.0811525,0.0846825,0.0471775,0.0927575,0.080505,0.0903725,0.04898,0.057435,0.075575
"000006.SZ",0.3162775,0.3186975,0.30213,0.3742125,0.62771,0.6862225,0.76918,0.548405,0.63055,NA,0.4951925,0.57755,0.5081575,NA,0.37346,0.4042325,0.43235,0.406875,0.26456,0.2599525,0.3084025,0.2816325,0.3233175,0.293995,0.2255575,0.205215,0.186165,0.1035475,0.1182475,0.2406,0.262265,0.373265,0.294445,0.2894025,0.19807,0.1792825,0.331925,0.3818875,0.3313325,0.1509925,0.09547,0.1313975,0.1534075,0.130015,0.1017625,0.07567,0.076025,0.0684075,0.07525,0.1482,0.177225,0.2332025,0.2650425,0.2596825,0.1979725,0.113385,0.1151925,0.106005,0.0724525,0.08647,0.1437275,0.1807375,0.1982425,0.178975,0.147625,0.128555,0.1446925,0.1392475,0.1422425,0.1064875,0.11909,0.1546725,0.1610625,0.172795,0.13941,0.2045725,0.1699975,0.1727475,0.0790125,0.0632375,0.0613425,0.05962,0.107235,0.126385,0.162035,0.1766325,0.1613025,0.1690575,0.2082925,0.35242,0.639075,0.90307,1.0672625,0.953235,0.79835,0.518315,0.2819075,0.3186125,0.4062,0.5291275,0.3502275,0.1145975,0.0779825,0.06938,0.1130425,0.1976525,0.2138875,0.161025,0.1347175,0.132635,0.12905,0.0514925,0.0790975,0.1352675,0.148165,0.1070775,0.0475525,NA,NA,NA,NA,NA,NA
"000007.SZ",0.23474,0.1912525,0.1822975,0.2263825,0.26152,0.2576275,0.2389975,0.223855,0.25491,0.28522,0.319995,NA,0.376725,0.357585,0.37619,0.28065,0.2668625,0.227245,0.210615,0.1765725,0.2182275,0.21882,0.19891,0.1519825,0.1345,0.1753075,0.1557425,0.10844,NA,0.14905,0.1663175,0.14961,0.071665,0.064435,0.086125,0.1196025,0.1232925,0.1123775,0.094505,0.0828325,0.084715,0.1325475,0.19285,0.17149,0.1210325,0.06322,0.0572725,0.076415,0.15815,0.201585,0.2338925,0.26159,0.2267525,0.3510625,0.29951,0.3403175,0.2548975,NA,0.158315,0.17074,0.1652875,0.2745175,0.38172,0.500285,0.4815425,0.37394,0.1956675,0.22161,0.2041525,0.14935,0.105175,0.082075,0.0752325,0.070105,0.082685,0.0721275,0.0625825,NA,NA,NA,NA,0.271475,0.30294,0.29499,0.166065,0.1584775,0.207475,0.2471675,0.2891275,NA,NA,NA,NA,NA,NA,0.4402525,NA,NA,NA,NA,NA,NA,NA,0.61083,0.560405,0.4015,0.25426,0.1467525,0.08173,NA,NA,NA,NA,NA,NA,0.1632625,0.159295,0.165175,NA,NA,NA,NA,NA
"000008.SZ",0.1528725,0.1831675,0.1853675,0.2130225,0.2549725,0.2048575,0.238805,0.2010075,0.25589,0.2349225,0.268475,0.2839225,0.261395,0.2099575,0.2359775,0.205835,0.1907925,0.1158475,0.13362,0.16164,0.21983,0.1948325,0.174435,0.164425,NA,0.22058,0.2048125,0.175545,0.1293975,NA,0.19369,0.1801675,0.1499225,0.0770375,0.0952175,0.1200175,0.106285,0.0811525,NA,0.07893,0.0779825,0.085885,0.08483,0.074175,0.0785425,0.09856,0.1175875,0.10182,0.1389375,0.1780675,NA,NA,0.29719,0.21779,0.142435,0.14181,0.19401,0.1735525,0.13608,0.086185,0.063445,0.091425,0.109825,0.115245,0.149355,0.2125825,0.3541025,0.3996625,0.328495,0.2378425,0.2003325,0.165775,0.18137,0.105075,0.1375525,0.1166975,0.1031,0.13728,NA,NA,NA,0.354215,0.436545,0.4168525,0.4467825,0.270975,0.1935725,NA,NA,NA,NA,0.6073425,0.939895,1.0173075,0.972815,0.7526975,0.45274,0.3742025,0.364085,0.458305,0.2505875,0.1413625,0.167365,0.1507525,0.140275,0.0577975,0.1243675,0.1024225,0.12701,0.06342,0.05142,0.0240275,0.0285175,0.045575,0.0483175,0.0419275,0.0427375,0.0740975,0.08874,0.082455,0.055825,0.037105,0.0406525
"000009.SZ",NA,0.25966,0.2373025,NA,NA,0.3476625,0.556685,0.68367,0.684785,0.529415,0.6064125,0.682155,0.611035,0.500275,0.4800625,0.48021,0.4877925,0.3432775,0.2632125,0.2783775,0.3523625,0.387165,0.3500125,0.27241,0.185185,0.18601,0.248505,0.2005625,0.2244475,0.23952,NA,0.251925,0.1890125,0.21278,0.25472,0.5088175,0.4805375,0.4736975,0.468365,0.4856,0.5087475,0.3063175,0.2171825,0.1574275,0.130235,0.137495,0.1519375,0.245995,0.3164075,0.496,0.4469325,0.3795125,0.2415725,0.1936525,0.1789125,0.16232,0.238335,0.2497325,0.1766475,0.0944425,0.08217,0.1142675,0.1193075,0.248175,0.2423575,0.2752125,0.283055,0.2761025,0.2124375,0.15226,0.112015,0.1296975,0.0959175,0.0809775,0.144205,0.19016,0.2165025,NA,NA,NA,0.2729075,0.3285075,0.3093,0.1464475,NA,0.14693,0.1867375,0.1692125,0.223615,0.3038375,0.4769825,NA,0.8622475,1.0162825,1.1720325,0.6719525,0.4609325,0.4886175,0.515025,0.507425,0.33409,0.228895,0.2101625,0.18304,0.1986925,0.1832025,0.13349,0.070365,0.0591975,0.0663025,0.06276,0.035515,0.0365375,0.0625625,0.08252,0.150875,0.1471325,0.14994,0.076855,0.073915,0.0550775,0.0641275,0.145575
"000010.SZ",NA,NA,NA,NA,0.38846,0.365875,0.4057125,0.387415,0.3213225,0.3324125,0.28606,0.293595,0.2426,0.1845525,0.1758225,0.15535,0.240025,0.2467475,0.2083675,0.13594,0.1871925,0.2038675,0.211215,0.20689,0.194185,0.1881125,0.15747,0.1015525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171155,0.2122575,0.225225,0.226045,0.186035,NA,NA,0.2325375,0.2153675,NA,NA,NA,NA,NA,NA,NA,0.32244,NA,0.3566925,0.5357125,0.3972175,0.4842775,0.29057,0.27162,0.1715525,0.226785,0.18551,0.2061925,0.17117,0.18941,0.161295,0.1228875,0.0928525,NA,NA,NA,NA,NA,0.48647,0.7678,1.10455,1.3956975,1.2587775,1.05696,0.65076,0.4437875,0.5489875,0.57877,0.540795,0.2756025,0.1690525,0.15442,0.1184325,0.0856675,0.1114475,0.110055,0.101615,0.157085,0.162645,0.158835,0.0500975,0.0586375,0.078675,0.15134,0.156045,0.061,0.0669275,0.207495,0.256615,0.2634,0.19971,0.2488875
"000011.SZ",0.2435825,0.20546,0.192555,0.1933,0.2837775,0.31434,0.3450725,0.235475,0.2601675,0.2790125,0.3038225,0.36668,0.3663425,0.2900275,0.260415,0.217625,0.2776575,0.257425,0.225605,0.17314,NA,0.2587025,NA,0.8350775,0.868825,0.3588925,0.3405075,0.246965,0.226035,0.3080475,NA,0.4910875,0.4066425,0.346615,0.1974375,0.166005,0.1628975,0.2763625,0.24037,0.23313,0.139095,0.334785,0.435415,0.46355,0.2825525,0.18636,0.18209,0.151195,0.1696125,0.2260525,0.330205,0.348195,0.4210325,0.339215,0.313875,0.201445,0.201725,0.16526,0.1123775,0.13364,0.17783,0.23456,0.2350525,0.2239675,0.243845,0.2515725,0.31376,0.24319,0.2180475,0.160515,0.121235,0.109735,0.0868275,0.096185,0.10489,0.137595,0.1413,0.1356975,0.0725025,0.0389525,0.064865,0.06807,0.1149725,0.137475,0.2151525,0.2289775,0.1816,0.164615,0.2414475,0.3370625,0.585025,0.989535,1.0819825,0.99707,0.877395,0.6472475,0.4273775,0.38868,0.6688325,0.7483675,0.5717,0.2611975,0.1943125,0.157565,0.1673525,0.1641475,0.2206825,0.19362,0.261795,0.241575,0.2369075,0.1185575,0.1676575,0.2256325,0.3060475,0.23828,0.134185,0.14372,0.12698,0.131675,0.0716825,0.0835175,0.115905
